StockCode,Description,TotalQuantity,UniqueCustomers,TotalRevenue
22423,REGENCY CAKESTAND 3 TIER,9732,701,111834.09999999999
85099B,JUMBO BAG RED RETROSPOT,35657,556,66687.5
85123A,WHITE HANGING HEART T-LIGHT HOLDER,23582,673,63721.3
POST,POSTAGE,2828,262,62282.31
47566,PARTY BUNTING,12382,565,55871.600000000006
84879,ASSORTED COLOUR BIRD ORNAMENT,31058,566,49702.1
M,Manual,6528,170,47155.4
23084,RABBIT NIGHT LIGHT,20309,436,37339.99
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,13719,571,37167.85
21137,BLACK RECORD COVER FRAME,10266,123,35126.46
